Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average
2024-12-04 00:00:00-05:00,242.8699951171875,244.11000061035156,241.25,243.00999450683594,44383900,0.0,0.0,
2024-12-05 00:00:00-05:00,243.99000549316406,244.5399932861328,242.1300048828125,243.0399932861328,40033900,0.0,0.0,
2024-12-06 00:00:00-05:00,242.91000366210938,244.6300048828125,242.0800018310547,242.83999633789062,36870600,0.0,0.0,
2024-12-09 00:00:00-05:00,241.8300018310547,247.24000549316406,241.75,246.75,44649200,0.0,0.0,
2024-12-10 00:00:00-05:00,246.88999938964844,248.2100067138672,245.33999633789062,247.77000427246094,36914800,0.0,0.0,244.68199768066407
2024-12-11 00:00:00-05:00,247.9600067138672,250.8000030517578,246.25999450683594,246.49000549316406,45205800,0.0,0.0,245.37799987792968
2024-12-12 00:00:00-05:00,246.88999938964844,248.74000549316406,245.67999267578125,247.9600067138672,32777500,0.0,0.0,246.36200256347655
2024-12-13 00:00:00-05:00,247.82000732421875,249.2899932861328,246.24000549316406,248.1300048828125,33155300,0.0,0.0,247.42000427246094
2024-12-16 00:00:00-05:00,247.99000549316406,251.3800048828125,247.64999389648438,251.0399932861328,51694800,0.0,0.0,248.2780029296875
2024-12-17 00:00:00-05:00,250.0800018310547,253.8300018310547,249.77999877929688,253.47999572753906,51356400,0.0,0.0,249.4200012207031
2024-12-18 00:00:00-05:00,252.16000366210938,254.27999877929688,247.74000549316406,248.0500030517578,56774100,0.0,0.0,249.73200073242188
2024-12-19 00:00:00-05:00,247.5,252.0,247.08999633789062,249.7899932861328,60882300,0.0,0.0,250.097998046875
2024-12-20 00:00:00-05:00,248.0399932861328,255.0,245.69000244140625,254.49000549316406,147495300,0.0,0.0,251.3699981689453
2024-12-23 00:00:00-05:00,254.77000427246094,255.64999389648438,253.4499969482422,255.27000427246094,40858800,0.0,0.0,252.21600036621095
2024-12-24 00:00:00-05:00,255.49000549316406,258.2099914550781,255.2899932861328,258.20001220703125,23234700,0.0,0.0,253.16000366210938
2024-12-26 00:00:00-05:00,258.19000244140625,260.1000061035156,257.6300048828125,259.0199890136719,27237100,0.0,0.0,255.3540008544922
2024-12-27 00:00:00-05:00,257.8299865722656,258.70001220703125,253.05999755859375,255.58999633789062,42355300,0.0,0.0,256.5140014648438
2024-12-30 00:00:00-05:00,252.22999572753906,253.5,250.75,252.1999969482422,35557500,0.0,0.0,256.0559997558594
2024-12-31 00:00:00-05:00,252.44000244140625,253.27999877929688,249.42999267578125,250.4199981689453,39480700,0.0,0.0,255.08599853515625
2025-01-02 00:00:00-05:00,248.92999267578125,249.10000610351562,241.82000732421875,243.85000610351562,55740700,0.0,0.0,252.21599731445312
2025-01-03 00:00:00-05:00,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,40202700,0.0,0.0,249.08399963378906
